metric_date,open,high,low,close,volume,market_cap
2014-02-22,574.24,614.48,558.58,605.42,31254000.0,7526808472.5
2014-02-23,606.47,639.91,599.7,605.82,31434400.0,7534325866.5
2014-02-24,606.04,607.61,538.7,546.32,57893900.0,6796971990.0
2014-02-25,540.24,541.38,420.41,538.71,126314000.0,6704461434.0
2014-02-26,537.04,603.8,532.58,582.69,64642700.0,7254505067.25
2014-02-27,581.65,594.05,566.62,578.77,25540800.0,7208406719.0
2014-02-28,579.7,584.14,545.17,549.26,28076100.0,6843353923.5
2014-03-01,549.92,573.38,539.29,565.61,18668100.0,7049084308.0
2014-03-02,567.23,570.48,553.27,559.79,7950760.0,6978524071.75
2014-03-03,562.56,702.91,560.52,667.76,96056896.0,8326933812.0
2014-03-04,668.24,696.22,655.68,666.78,55344600.0,8317230355.5
2014-03-05,666.24,674.28,646.28,665.51,22461900.0,8304000851.5
2014-03-06,664.52,669.77,649.79,663.86,16068100.0,8286267327.0
2014-03-07,664.31,665.34,616.35,629.15,34150800.0,7855629815.0
2014-03-08,629.66,635.14,604.46,617.45,18654200.0,7712151171.25
2014-03-09,616.31,643.95,612.35,636.96,15396500.0,7958687808.0
2014-03-10,636.33,644.76,615.02,627.79,20639800.0,7846433315.0
2014-03-11,627.95,638.42,618.84,634.11,11732500.0,7928102949.75
2014-03-12,631.91,648.03,629.51,632.1,18621200.0,7905832725.0
2014-03-13,633.62,644.2,630.85,638.14,11634900.0,7983960982.0
2014-03-14,638.14,639.53,627.21,628.8,11913800.0,7869180480.0
2014-03-15,629.37,639.14,627.3,636.12,4342080.0,7963443153.0
2014-03-16,636.5,637.52,628.11,631.11,5277290.0,7903422085.5
2014-03-17,630.92,632.68,616.85,622.37,14648200.0,7796513248.98
2014-03-18,621.84,622.39,603.8,614.83,24011500.0,7704183117.6
2014-03-19,613.9,622.0,609.1,609.89,14228900.0,7644702124.8
2014-03-20,609.74,609.74,587.49,588.77,20572900.0,7382675345.5
2014-03-21,588.29,604.59,561.81,571.49,38414100.0,7168656262.0
2014-03-22,571.18,572.55,554.39,565.04,17360700.0,7090150172.0
2014-03-23,565.76,570.24,560.88,561.27,9288400.0,7045871924.8
2014-03-24,562.51,586.56,551.77,583.41,22706900.0,7326517066.6
2014-03-25,585.03,585.44,572.6,583.92,14020100.0,7335179951.93
2014-03-26,583.48,590.03,570.96,580.83,16401100.0,7298672082.0
2014-03-27,580.26,580.56,471.24,471.24,62225400.0,5923615601.7
2014-03-28,477.14,526.02,473.23,495.67,58828300.0,6232801683.6
2014-03-29,501.71,504.86,489.73,491.17,11147100.0,6178428029.4
2014-03-30,492.37,492.37,444.18,460.27,42958300.0,5791419542.98
2014-03-31,462.3,483.02,443.36,457.0,28254000.0,5752294437.05
2014-04-01,457.0,495.34,457.0,478.38,35685800.0,6023351178.12
2014-04-02,479.14,495.05,431.27,437.14,49647600.0,5506313796.5
2014-04-03,436.44,449.57,414.89,444.72,40765500.0,5604036051.35
2014-04-04,445.66,454.65,429.09,447.53,22925500.0,5641613449.35
